iter	Passed	Remaining
177	248	1145
178	248	1140
179	249	1135
180	249	1130
181	250	1125
182	251	1120
183	251	1116
184	252	1111
185	252	1106
186	253	1101
187	253	1096
188	254	1092
189	255	1087
190	255	1082
191	256	1078
192	256	1073
193	257	1069
194	258	1065
195	258	1061
196	259	1057
197	260	1053
198	260	1049
199	261	1045
200	261	1041
201	262	1037
202	263	1033
203	263	1029
204	264	1025
205	265	1021
206	265	1018
207	266	1014
208	267	1010
209	267	1006
210	268	1003
211	268	999
212	269	996
213	270	992
214	270	988
215	271	985
216	272	981
217	272	977
218	273	973
219	273	970
220	274	966
221	274	963
222	275	959
223	276	956
224	276	953
225	277	949
226	277	946
227	278	943
228	279	939
229	279	936
230	280	933
231	280	930
232	281	927
233	282	924
234	282	920
235	283	917
236	284	914
237	284	911
238	285	908
239	285	904
240	286	901
241	286	898
242	287	895
243	288	892
244	288	889
245	289	886
246	289	883
247	290	880
248	291	877
249	291	875
250	292	872
251	293	870
252	293	867
253	294	864
254	295	862
255	295	859
256	296	856
257	296	854
258	297	851
259	298	848
260	298	845
261	299	843
262	300	840
263	300	838
264	301	835
265	301	832
266	302	830
267	302	827
268	303	825
269	304	822
270	304	819
271	305	817
272	306	815
273	306	813
274	307	810
275	308	808
276	308	806
277	309	803
278	310	801
279	310	798
280	311	796
281	311	794
282	312	791
283	313	789
284	313	786
285	314	784
286	314	781
287	315	779
288	315	777
289	316	774
290	317	772
291	317	770
292	318	768
293	318	765
294	319	763
295	320	761
296	321	760
297	321	758
298	322	755
299	323	753
300	323	751
301	324	749
302	324	747
303	325	745
304	326	742
305	326	741
306	327	739
307	328	737
308	328	735
309	329	733
310	330	731
311	330	729
312	331	726
313	331	724
314	332	722
315	333	720
316	333	718
317	334	717
318	335	715
319	335	713
320	336	711
321	337	709
322	337	707
323	338	705
324	338	703
325	339	701
326	340	700
327	340	698
328	341	696
329	342	695
330	343	694
331	344	692
332	344	690
333	345	688
334	345	686
335	346	684
336	347	682
337	347	680
338	348	679
339	348	677
340	349	675
341	350	673
342	351	672
343	351	670
344	352	669
345	353	667
346	353	666
347	354	664
348	355	663
349	356	661
350	356	659
351	357	657
352	358	656
353	358	654
354	359	652
355	359	651
356	360	649
357	361	647
358	361	646
359	362	644
360	363	642
361	363	640
362	364	639
363	364	637
364	367	638
365	367	637
366	368	635
367	369	633
368	369	632
369	370	630
370	370	628
371	371	627
372	372	625
373	372	624
374	373	622
375	374	620
376	374	619
377	375	617
378	375	615
379	376	614
380	377	612
381	377	610
382	378	609
383	378	607
384	379	606
385	380	604
386	380	603
387	381	601
388	382	600
389	382	599
390	383	597
391	384	596
392	384	594
393	385	593
394	386	591
395	386	590
396	387	588
397	388	587
398	388	585
399	389	583
400	389	582
401	390	580
402	391	579
403	391	577
404	392	576
405	392	574
406	393	573
407	393	571
408	394	569
409	394	568
410	395	566
411	396	565
412	397	564
413	397	563
414	398	561
415	399	560
416	399	558
417	400	557
418	400	555
419	401	554
420	402	553
421	402	551
422	403	550
423	404	548
424	404	547
425	405	546
426	406	544
427	406	543
428	407	542
429	407	540
430	408	539
431	408	537
432	409	536
433	410	534
434	410	533
435	411	532
436	412	531
437	412	529
438	413	528
439	414	527
440	414	525
441	415	524
442	416	523
443	416	522
444	417	520
445	418	519
446	418	518
447	419	517
448	420	515
449	420	514
450	421	512
451	421	511
452	422	510
453	422	508
454	423	507
455	424	506
456	424	504
457	425	503
458	425	502
459	426	500
460	427	499
461	427	498
462	428	497
463	429	495
464	429	494
465	430	493
466	430	491
467	431	490
468	432	489
469	432	487
470	433	486
471	433	485
472	434	483
473	434	482
474	435	481
475	436	480
476	436	478
477	437	477
478	437	476
479	438	474
480	438	473
481	439	472
482	440	470
483	440	469
484	441	468
485	442	467
486	442	466
487	443	465
488	444	463
489	444	462
490	445	461
491	445	460
492	446	459
493	446	457
494	447	456
495	448	455
496	448	454
497	449	452
498	449	451
499	450	450
500	450	449
501	451	447
502	452	446
503	452	445
504	453	444
505	453	443
506	454	442
507	455	440
508	455	439
509	456	438
510	457	437
511	458	436
512	458	435
513	459	434
514	459	433
515	460	431
516	461	430
517	461	429
518	462	428
519	462	427
520	463	426
521	464	425
522	464	423
523	465	422
524	465	421
525	466	420
526	467	419
527	467	418
528	468	416
529	468	415
530	469	414
531	470	413
532	470	412
533	471	411
534	471	410
535	472	409
536	473	408
537	473	406
538	474	405
539	474	404
540	475	403
541	476	402
542	476	401
543	477	400
544	478	399
545	478	398
546	479	396
547	479	395
548	480	394
549	481	393
550	481	392
551	482	391
552	482	390
553	483	389
554	483	387
555	484	386
556	484	385
557	485	384
558	485	383
559	486	382
560	487	381
561	487	380
562	488	379
563	489	378
564	489	376
565	490	375
566	490	374
567	491	373
568	491	372
569	492	371
570	493	370
571	493	369
572	494	368
573	494	367
574	495	366
575	495	365
576	496	364
577	497	362
578	497	361
579	498	360
580	498	359
581	499	358
582	499	357
583	500	356
584	500	355
585	501	354
586	502	353
587	503	352
588	503	351
589	504	350
590	504	349
591	505	348
592	506	347
593	506	346
594	507	345
595	507	344
596	508	343
597	508	342
598	509	340
599	509	339
600	510	338
601	510	337
602	511	336
603	511	335
604	512	334
605	512	333
606	513	332
607	514	331
608	514	330
609	515	329
610	515	328
611	516	327
612	517	326
613	517	325
614	518	324
615	518	323
616	519	322
617	520	321
618	520	320
619	521	319
620	522	318
621	522	317
622	523	316
623	523	315
624	524	314
625	525	313
626	525	312
627	526	311
628	526	310
629	527	309
630	528	308
631	528	307
632	529	306
633	529	305
634	530	304
635	530	303
636	531	302
637	531	301
638	532	300
639	533	300
640	534	299
641	534	298
642	535	297
643	535	296
644	536	295
645	537	294
646	537	293
647	538	292
648	538	291
649	539	290
650	540	289
651	540	288
652	541	287
653	541	286
654	542	285
655	543	284
656	543	283
657	544	282
658	544	281
659	545	281
660	546	280
661	546	279
662	547	278
663	548	277
664	549	276
665	550	275
666	550	274
667	551	273
668	551	272
669	552	272
670	552	271
671	553	270
672	553	269
673	554	268
674	555	267
675	555	266
676	556	265
677	556	264
678	557	263
679	557	262
680	558	261
681	559	260
682	559	259
683	560	258
684	560	257
685	561	256
686	561	255
687	562	255
688	563	254
689	564	253
690	564	252
691	565	251
692	565	250
693	566	249
694	567	248
695	567	247
696	568	246
697	568	246
698	569	245
699	569	244
700	570	243
701	570	242
702	571	241
703	571	240
704	572	239
705	573	238
706	573	237
707	574	236
708	574	235
709	575	234
710	575	234
711	576	233
712	576	232
713	577	231
714	578	230
715	578	229
716	579	228
717	580	227
718	580	226
719	581	226
720	581	225
721	582	224
722	582	223
723	583	222
724	583	221
725	584	220
726	585	219
727	585	218
728	586	217
729	586	216
730	587	216
731	587	215
732	588	214
733	588	213
734	589	212
735	589	211
736	590	210
737	590	209
738	591	208
739	591	207
740	592	207
741	593	206
742	593	205
743	594	204
744	595	203
745	595	202
746	596	202
747	597	201
748	597	200
749	598	199
750	599	198
751	599	197
752	600	196
753	600	195
754	601	195
755	601	194
756	602	193
757	602	192
758	603	191
759	603	190
760	604	189
761	604	188
762	605	188
763	606	187
764	606	186
765	607	185
766	608	184
767	608	183
768	609	183
769	610	182
770	611	181
771	611	180
772	612	179
773	612	178
774	613	178
775	614	177
776	614	176
777	615	175
778	615	174
779	616	173
780	616	172
781	617	172
782	617	171
783	618	170
784	618	169
785	619	168
786	619	167
787	620	166
788	620	166
789	621	165
790	622	164
791	622	163
792	623	162
793	624	161
794	624	161
795	625	160
796	626	159
797	626	158
798	627	157
799	627	156
800	628	156
801	628	155
802	629	154
803	629	153
804	630	152
805	630	151
806	631	151
807	632	150
808	632	149
809	633	148
810	633	147
811	634	146
812	634	145
813	635	145
814	635	144
815	636	143
816	636	142
817	637	141
818	638	141
819	638	140
820	639	139
821	640	138
822	640	137
823	641	136
824	641	136
825	642	135
826	642	134
827	643	133
828	644	132
829	644	132
830	645	131
831	645	130
832	646	129
833	646	128
834	647	127
835	647	127
836	648	126
837	648	125
838	649	124
839	649	123
840	650	122
841	651	122
842	651	121
843	652	120
844	652	119
845	653	118
846	654	118
847	655	117
848	655	116
849	656	115
850	657	115
851	657	114
852	658	113
853	659	112
854	659	111
855	660	111
856	660	110
857	661	109
858	661	108
859	662	107
860	663	107
861	663	106
862	664	105
863	664	104
864	665	103
865	665	103
866	666	102
867	666	101
868	667	100
869	668	99
870	669	99
871	669	98
872	670	97
873	671	96
874	671	95
875	672	95
876	672	94
877	673	93
878	673	92
879	674	91
880	674	91
881	675	90
882	676	89
883	676	88
884	677	87
885	677	87
886	678	86
887	678	85
888	679	84
889	680	84
890	680	83
891	681	82
892	681	81
893	682	80
894	682	80
895	683	79
896	684	78
897	685	77
898	685	77
899	686	76
900	687	75
901	687	74
902	688	73
903	688	73
904	689	72
905	689	71
906	690	70
907	690	70
908	691	69
909	692	68
910	692	67
911	693	66
912	693	66
913	694	65
914	694	64
915	695	63
916	695	62
917	696	62
918	696	61
919	697	60
920	698	59
921	699	59
922	699	58
923	700	57
924	701	56
925	701	56
926	702	55
927	702	54
928	703	53
929	704	52
930	704	52
931	705	51
932	705	50
933	706	49
934	706	49
935	707	48
936	707	47
937	708	46
938	708	46
939	709	45
940	709	44
941	710	43
942	711	42
943	711	42
944	712	41
945	712	40
946	713	39
947	714	39
948	714	38
949	715	37
950	715	36
951	716	36
952	717	35
953	717	34
954	718	33
955	718	33
956	719	32
957	719	31
958	720	30
959	720	30
960	721	29
961	721	28
962	722	27
963	722	26
964	723	26
965	723	25
966	724	24
967	725	23
968	725	23
969	726	22
970	727	21
971	727	20
972	728	20
973	729	19
974	729	18
975	730	17
976	730	17
977	731	16
978	731	15
979	732	14
980	732	14
981	733	13
982	734	12
983	734	11
984	735	11
985	735	10
986	736	9
987	736	8
988	737	8
989	737	7
990	738	6
991	738	5
992	739	5
993	740	4
994	740	3
995	741	2
996	741	2
997	742	1
998	742	0
999	743	0
